Semester Description,Program Start Date,Program Tuition Fee,Program Title,Primary Contact City
Fall 2024,2024-09-21,395.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 9/21-10/19| Fall 2024,Hauppauge
Fall 2024,2024-09-12,397.0,Beginner Silversmithing with Marla Mencher | Thursdays 12pm-4pm | 9/12-10/17| Fall 2024,Coram
Fall 2024,2024-09-10,440.0,Intermediate Silversmithing with Marla Mencher | Tues 9:30am-12:30 pm |9/10-10/15| Fall 2024,Huntington
Fall 2024,2024-09-10,575.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5 pm | 9/10-10/15 | Fall 2024,Roslyn
Fall 2024,2024-09-10,575.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5 pm | 9/10-10/15 | Fall 2024,Merrick
Fall 2024,2024-09-10,575.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5 pm | 9/10-10/15 | Fall 2024,Dix Hills
Fall 2024,2024-09-10,575.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5 pm | 9/10-10/15 | Fall 2024,Centerport
Fall 2024,2024-09-10,575.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5 pm | 9/10-10/15 | Fall 2024,Centerport
Fall 2024,2024-09-10,575.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5 pm | 9/10-10/15 | Fall 2024,Huntington
Fall 2024,2024-09-10,575.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5 pm | 9/10-10/15 | Fall 2024,DIX HILLS
Fall 2024,2024-09-21,395.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 9/21-10/19| Fall 2024,Ronkonkoma
Fall 2024,2024-09-14,448.0,Intermediate Wheel Throwing with Jesus Antoshka | Saturdays 9:30am-12:30pm  | 9/14-10/19 | Fall 2024,East Northport
Fall 2024,2024-09-21,395.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 9/21-10/19| Fall 2024,Huntington
Fall 2024,2024-09-10,280.0,Intermediate Watercolor with Liz Fusco | Tues 9am-11am | 9/10-10/15 | Fall 2024,Centerport
Fall 2024,2024-09-10,440.0,Intermediate Silversmithing with Marla Mencher | Tues 9:30am-12:30 pm |9/10-10/15| Fall 2024,Huntington Station
Fall 2024,2024-09-10,280.0,Intermediate Watercolor with Liz Fusco | Tues 9am-11am | 9/10-10/15 | Fall 2024,West Islip
Fall 2024,2024-09-10,440.0,Intermediate Silversmithing with Marla Mencher | Tues 9:30am-12:30 pm |9/10-10/15| Fall 2024,Yaphank
Fall 2024,2024-09-12,397.0,Beginner Silversmithing with Marla Mencher | Thursdays 12pm-4pm | 9/12-10/17| Fall 2024,
Fall 2024,2024-09-21,395.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 9/21-10/19| Fall 2024,Plainview
Fall 2024,2024-09-21,395.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 9/21-10/19| Fall 2024,Oceanside
Fall 2024,2024-09-21,395.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 9/21-10/19| Fall 2024,Oceanside
Fall 2024,2024-09-12,448.0,All Levels Ceramics with Ruth Lowenberg | Thursdays 9:30am - 12:30pm | 9/12-10/17 | Fall 2024,Long Beach
Fall 2024,2024-09-12,397.0,Beginner Silversmithing with Marla Mencher | Thursdays 12pm-4pm | 9/12-10/17| Fall 2024,Northport
Fall 2024,2024-09-12,397.0,Beginner Silversmithing with Marla Mencher | Thursdays 12pm-4pm | 9/12-10/17| Fall 2024,Lindenhurst
Fall 2024,2024-09-10,245.0,Creative Cartooning & Realistic Drawing with Lori Hochberg | Ages 8-12 |Tues |5:30-7:00pm| 9/12-10/17 | Fall 2024,Dix Hills
Fall 2024,2024-09-12,397.0,Beginner Silversmithing with Marla Mencher | Thursdays 12pm-4pm | 9/12-10/17| Fall 2024,Wantagh
Fall 2024,2024-09-21,395.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 9/21-10/19| Fall 2024,Fairfield
Fall 2024,2024-09-10,440.0,Intermediate Silversmithing with Marla Mencher | Tues 9:30am-12:30 pm |9/10-10/15| Fall 2024,Plainview
Fall 2024,2024-09-10,440.0,Intermediate Silversmithing with Marla Mencher | Tues 9:30am-12:30 pm |9/10-10/15| Fall 2024,Centerport
Fall 2024,2024-09-10,440.0,Intermediate Silversmithing with Marla Mencher | Tues 9:30am-12:30 pm |9/10-10/15| Fall 2024,Huntington
Fall 2024,2024-09-12,270.0,Figure Construction & Anatomy with Stu Yellin | Thursdays 6:00-9:00pm | 9/12-10/24 | Fall 2024,Westbury
Fall 2024,2024-09-12,270.0,Figure Construction & Anatomy with Stu Yellin | Thursdays 6:00-9:00pm | 9/12-10/24 | Fall 2024,Huntington station
Fall 2024,2024-09-10,280.0,Pastels: Beginning and Beyond with Marlene Bezich | Tuesdays 1:30-3:30pm | 9/10-10/15 | Fall 2024,Medford
Fall 2024,2024-09-09,448.0,Wheel 102 with Sophie Yoon | Mondays 6pm-9pm | 9/9-10/14 | Fall 2024,NY
Fall 2024,2024-09-10,575.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5 pm | 9/10-10/15 | Fall 2024,Westhampton Beach
Fall 2024,2024-09-09,448.0,Wheel 102 with Sophie Yoon | Mondays 6pm-9pm | 9/9-10/14 | Fall 2024,East Northport
Fall 2024,2024-09-10,280.0,Intermediate Watercolor with Liz Fusco | Tues 9am-11am | 9/10-10/15 | Fall 2024,Glen Head
Fall 2024,2024-09-10,280.0,Pastels: Beginning and Beyond with Marlene Bezich | Tuesdays 1:30-3:30pm | 9/10-10/15 | Fall 2024,Glen Head
Fall 2024,2024-09-10,280.0,Pastels: Beginning and Beyond with Marlene Bezich | Tuesdays 1:30-3:30pm | 9/10-10/15 | Fall 2024,Amityville
Fall 2024,2024-09-10,280.0,Intermediate Watercolor with Liz Fusco | Tues 9am-11am | 9/10-10/15 | Fall 2024,Amityville
Fall 2024,2024-09-21,395.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 9/21-10/19| Fall 2024,Deer Park
Fall 2024,2024-09-10,280.0,Fundamentals of Drawing with Liz Fusco | Tuesdays 11:30am-1:30pm | 9/10-10/15 | Fall 2024,West Islip
Fall 2024,2024-09-14,448.0,Intermediate Wheel Throwing with Jesus Antoshka | Saturdays 9:30am-12:30pm  | 9/14-10/19 | Fall 2024,Melville
Fall 2024,2024-09-13,430.0,The World of Watercolor with Ross Barbera | Fri 10am-1pm | 9/13-10/18 | Fall 2024,Commack
Fall 2024,2024-09-10,280.0,Intermediate Watercolor with Liz Fusco | Tues 9am-11am | 9/10-10/15 | Fall 2024,Huntington
Fall 2024,2024-09-21,395.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 9/21-10/19| Fall 2024,Malverne
Fall 2024,2024-09-11,465.0,Wax Carving Intensive with Jen Salta| Wednesday 6-9 pm | 9/11 - 10/16 | Fall 2024,Deer Park
Fall 2024,2024-09-13,430.0,Introduction to Acrylic Painting with Rita Broughton | Fri 10am-12pm| 9/13-10/18| Fall 2024,Melville
Fall 2024,2024-09-10,280.0,Pastels: Beginning and Beyond with Marlene Bezich | Tuesdays 1:30-3:30pm | 9/10-10/15 | Fall 2024,Dix Hills
Fall 2024,2024-09-10,448.0,Beginners 101 Ceramics with Amy Tischler | Tues 6-9 pm | 9/10 - 10/15 | Fall 2024,Smithtown
Fall 2024,2024-09-11,465.0,Wax Carving Intensive with Jen Salta| Wednesday 6-9 pm | 9/11 - 10/16 | Fall 2024,Yaphank
Fall 2024,2024-09-10,280.0,Pastels: Beginning and Beyond with Marlene Bezich | Tuesdays 1:30-3:30pm | 9/10-10/15 | Fall 2024,Huntington Station
Fall 2024,2024-09-10,280.0,Intermediate Watercolor with Liz Fusco | Tues 9am-11am | 9/10-10/15 | Fall 2024,Huntington Station
Fall 2024,2024-09-11,465.0,Wax Carving Intensive with Jen Salta| Wednesday 6-9 pm | 9/11 - 10/16 | Fall 2024,West Babylon
Fall 2024,2024-09-10,280.0,Intermediate Watercolor with Liz Fusco | Tues 9am-11am | 9/10-10/15 | Fall 2024,Melville
