0,1,10,11,2,3,4,5,7,8,9,Primary Contact City,Program Start Date,Program Title,Program Tuition Fee,Semester Description,day,level,semester,time,type,year
All Levels Silversmithing with Marla Mencher,9:30am-1:30pm,,,2024,,,,Saturdays,Fall,9/21-10/19,Hauppauge,2024-09-21,"['All Levels Silversmithing with Marla Mencher ', ' Saturdays 9:30am-1:30pm ', ' Fall 2024', ' 9/21-10/19']",395.0,Fall 2024,Saturday,All Levels,Fall ,9:30am-1:30pm,Jewelry,2024
Beginner Silversmithing with Marla Mencher,12pm-4pm,,,2024,,,,Thursdays,Fall,9/12-10/17,Coram,2024-09-12,"['Beginner Silversmithing with Marla Mencher ', ' Thursdays 12pm-4pm ', ' Fall 2024', ' 9/12-10/17']",397.0,Fall 2024,Thursday,Beginner,Fall ,12pm-4pm,Jewelry,2024
Intermediate Silversmithing with Marla Mencher,,,,9:30am-12:30pm,2024,,,9/10-10/15,Tues,Fall,Huntington,2024-09-10,"['Intermediate Silversmithing with Marla Mencher ', '9/10-10/15', ' Tues 9:30am-12:30 pm ', ' Fall 2024']",440.0,Fall 2024,Tuesday,Intermediate,Fall ,9:30am-12:30pm,Jewelry,2024
Advanced Silversmithing with Marla Mencher,1-5pm,,,2024,,,,Tuesday,Fall,9/10-10/15,Roslyn,2024-09-10,"['Advanced Silversmithing with Marla Mencher ', ' Tuesday 1-5 pm ', ' Fall 2024', ' 9/10-10/15 ']",575.0,Fall 2024,Tuesday,Advanced,Fall ,1-5pm,Jewelry,2024
Advanced Silversmithing with Marla Mencher,1-5pm,,,2024,,,,Tuesday,Fall,9/10-10/15,Merrick,2024-09-10,"['Advanced Silversmithing with Marla Mencher ', ' Tuesday 1-5 pm ', ' Fall 2024', ' 9/10-10/15 ']",575.0,Fall 2024,Tuesday,Advanced,Fall ,1-5pm,Jewelry,2024
Advanced Silversmithing with Marla Mencher,1-5pm,,,2024,,,,Tuesday,Fall,9/10-10/15,Dix Hills,2024-09-10,"['Advanced Silversmithing with Marla Mencher ', ' Tuesday 1-5 pm ', ' Fall 2024', ' 9/10-10/15 ']",575.0,Fall 2024,Tuesday,Advanced,Fall ,1-5pm,Jewelry,2024
Advanced Silversmithing with Marla Mencher,1-5pm,,,2024,,,,Tuesday,Fall,9/10-10/15,Centerport,2024-09-10,"['Advanced Silversmithing with Marla Mencher ', ' Tuesday 1-5 pm ', ' Fall 2024', ' 9/10-10/15 ']",575.0,Fall 2024,Tuesday,Advanced,Fall ,1-5pm,Jewelry,2024
Advanced Silversmithing with Marla Mencher,1-5pm,,,2024,,,,Tuesday,Fall,9/10-10/15,Centerport,2024-09-10,"['Advanced Silversmithing with Marla Mencher ', ' Tuesday 1-5 pm ', ' Fall 2024', ' 9/10-10/15 ']",575.0,Fall 2024,Tuesday,Advanced,Fall ,1-5pm,Jewelry,2024
Advanced Silversmithing with Marla Mencher,1-5pm,,,2024,,,,Tuesday,Fall,9/10-10/15,Huntington,2024-09-10,"['Advanced Silversmithing with Marla Mencher ', ' Tuesday 1-5 pm ', ' Fall 2024', ' 9/10-10/15 ']",575.0,Fall 2024,Tuesday,Advanced,Fall ,1-5pm,Jewelry,2024
Advanced Silversmithing with Marla Mencher,1-5pm,,,2024,,,,Tuesday,Fall,9/10-10/15,DIX HILLS,2024-09-10,"['Advanced Silversmithing with Marla Mencher ', ' Tuesday 1-5 pm ', ' Fall 2024', ' 9/10-10/15 ']",575.0,Fall 2024,Tuesday,Advanced,Fall ,1-5pm,Jewelry,2024
All Levels Silversmithing with Marla Mencher,9:30am-1:30pm,,,2024,,,,Saturdays,Fall,9/21-10/19,Ronkonkoma,2024-09-21,"['All Levels Silversmithing with Marla Mencher ', ' Saturdays 9:30am-1:30pm ', ' Fall 2024', ' 9/21-10/19']",395.0,Fall 2024,Saturday,All Levels,Fall ,9:30am-1:30pm,Jewelry,2024
Intermediate Wheel Throwing with Jesus Antoshka,9:30am-12:30pm,,,2024,,,,Saturdays,Fall,9/14-10/19,East Northport,2024-09-14,"['Intermediate Wheel Throwing with Jesus Antoshka ', ' Saturdays 9:30am-12:30pm  ', ' Fall 2024', ' 9/14-10/19 ']",448.0,Fall 2024,Saturday,Intermediate,Fall ,9:30am-12:30pm,Pottery,2024
All Levels Silversmithing with Marla Mencher,9:30am-1:30pm,,,2024,,,,Saturdays,Fall,9/21-10/19,Huntington,2024-09-21,"['All Levels Silversmithing with Marla Mencher ', ' Saturdays 9:30am-1:30pm ', ' Fall 2024', ' 9/21-10/19']",395.0,Fall 2024,Saturday,All Levels,Fall ,9:30am-1:30pm,Jewelry,2024
Intermediate Watercolor with Liz Fusco,9am-11am,,,2024,,,,Tues,Fall,9/10-10/15,Centerport,2024-09-10,"['Intermediate Watercolor with Liz Fusco ', ' Tues 9am-11am ', ' Fall 2024', ' 9/10-10/15 ']",280.0,Fall 2024,Tuesday,Intermediate,Fall ,9am-11am,Visual Arts,2024
Intermediate Silversmithing with Marla Mencher,,,,9:30am-12:30pm,2024,,,9/10-10/15,Tues,Fall,Huntington Station,2024-09-10,"['Intermediate Silversmithing with Marla Mencher ', '9/10-10/15', ' Tues 9:30am-12:30 pm ', ' Fall 2024']",440.0,Fall 2024,Tuesday,Intermediate,Fall ,9:30am-12:30pm,Jewelry,2024
Intermediate Watercolor with Liz Fusco,9am-11am,,,2024,,,,Tues,Fall,9/10-10/15,West Islip,2024-09-10,"['Intermediate Watercolor with Liz Fusco ', ' Tues 9am-11am ', ' Fall 2024', ' 9/10-10/15 ']",280.0,Fall 2024,Tuesday,Intermediate,Fall ,9am-11am,Visual Arts,2024
Intermediate Silversmithing with Marla Mencher,,,,9:30am-12:30pm,2024,,,9/10-10/15,Tues,Fall,Yaphank,2024-09-10,"['Intermediate Silversmithing with Marla Mencher ', '9/10-10/15', ' Tues 9:30am-12:30 pm ', ' Fall 2024']",440.0,Fall 2024,Tuesday,Intermediate,Fall ,9:30am-12:30pm,Jewelry,2024
Beginner Silversmithing with Marla Mencher,12pm-4pm,,,2024,,,,Thursdays,Fall,9/12-10/17,,2024-09-12,"['Beginner Silversmithing with Marla Mencher ', ' Thursdays 12pm-4pm ', ' Fall 2024', ' 9/12-10/17']",397.0,Fall 2024,Thursday,Beginner,Fall ,12pm-4pm,Jewelry,2024
All Levels Silversmithing with Marla Mencher,9:30am-1:30pm,,,2024,,,,Saturdays,Fall,9/21-10/19,Plainview,2024-09-21,"['All Levels Silversmithing with Marla Mencher ', ' Saturdays 9:30am-1:30pm ', ' Fall 2024', ' 9/21-10/19']",395.0,Fall 2024,Saturday,All Levels,Fall ,9:30am-1:30pm,Jewelry,2024
All Levels Silversmithing with Marla Mencher,9:30am-1:30pm,,,2024,,,,Saturdays,Fall,9/21-10/19,Oceanside,2024-09-21,"['All Levels Silversmithing with Marla Mencher ', ' Saturdays 9:30am-1:30pm ', ' Fall 2024', ' 9/21-10/19']",395.0,Fall 2024,Saturday,All Levels,Fall ,9:30am-1:30pm,Jewelry,2024
All Levels Silversmithing with Marla Mencher,9:30am-1:30pm,,,2024,,,,Saturdays,Fall,9/21-10/19,Oceanside,2024-09-21,"['All Levels Silversmithing with Marla Mencher ', ' Saturdays 9:30am-1:30pm ', ' Fall 2024', ' 9/21-10/19']",395.0,Fall 2024,Saturday,All Levels,Fall ,9:30am-1:30pm,Jewelry,2024
All Levels Ceramics with Ruth Lowenberg,9:30am-12:30pm,,,2024,,,,Thursdays,Fall,9/12-10/17,Long Beach,2024-09-12,"['All Levels Ceramics with Ruth Lowenberg ', ' Thursdays 9:30am - 12:30pm ', ' Fall 2024', ' 9/12-10/17 ']",448.0,Fall 2024,Thursday,All Levels,Fall ,9:30am-12:30pm,Pottery,2024
Beginner Silversmithing with Marla Mencher,12pm-4pm,,,2024,,,,Thursdays,Fall,9/12-10/17,Northport,2024-09-12,"['Beginner Silversmithing with Marla Mencher ', ' Thursdays 12pm-4pm ', ' Fall 2024', ' 9/12-10/17']",397.0,Fall 2024,Thursday,Beginner,Fall ,12pm-4pm,Jewelry,2024
Beginner Silversmithing with Marla Mencher,12pm-4pm,,,2024,,,,Thursdays,Fall,9/12-10/17,Lindenhurst,2024-09-12,"['Beginner Silversmithing with Marla Mencher ', ' Thursdays 12pm-4pm ', ' Fall 2024', ' 9/12-10/17']",397.0,Fall 2024,Thursday,Beginner,Fall ,12pm-4pm,Jewelry,2024
Tues,Cartooning&RealisticDrawingwithLoriHochberg,Ages,9/12-10/17,,2024,8-12,,Creative,5:30-7:00pm,Fall,Dix Hills,2024-09-10,"['Tues ', 'Creative Cartooning & Realistic Drawing with Lori Hochberg ', '5:30-7:00pm', ' Fall 2024', ' Ages 8-12 ', ' 9/12-10/17 ']",245.0,Fall 2024,Tuesday,,Fall ,5:30-7:00pm,Visual Arts,2024
Beginner Silversmithing with Marla Mencher,12pm-4pm,,,2024,,,,Thursdays,Fall,9/12-10/17,Wantagh,2024-09-12,"['Beginner Silversmithing with Marla Mencher ', ' Thursdays 12pm-4pm ', ' Fall 2024', ' 9/12-10/17']",397.0,Fall 2024,Thursday,Beginner,Fall ,12pm-4pm,Jewelry,2024
All Levels Silversmithing with Marla Mencher,9:30am-1:30pm,,,2024,,,,Saturdays,Fall,9/21-10/19,Fairfield,2024-09-21,"['All Levels Silversmithing with Marla Mencher ', ' Saturdays 9:30am-1:30pm ', ' Fall 2024', ' 9/21-10/19']",395.0,Fall 2024,Saturday,All Levels,Fall ,9:30am-1:30pm,Jewelry,2024
Intermediate Silversmithing with Marla Mencher,,,,9:30am-12:30pm,2024,,,9/10-10/15,Tues,Fall,Plainview,2024-09-10,"['Intermediate Silversmithing with Marla Mencher ', '9/10-10/15', ' Tues 9:30am-12:30 pm ', ' Fall 2024']",440.0,Fall 2024,Tuesday,Intermediate,Fall ,9:30am-12:30pm,Jewelry,2024
Intermediate Silversmithing with Marla Mencher,,,,9:30am-12:30pm,2024,,,9/10-10/15,Tues,Fall,Centerport,2024-09-10,"['Intermediate Silversmithing with Marla Mencher ', '9/10-10/15', ' Tues 9:30am-12:30 pm ', ' Fall 2024']",440.0,Fall 2024,Tuesday,Intermediate,Fall ,9:30am-12:30pm,Jewelry,2024
Intermediate Silversmithing with Marla Mencher,,,,9:30am-12:30pm,2024,,,9/10-10/15,Tues,Fall,Huntington,2024-09-10,"['Intermediate Silversmithing with Marla Mencher ', '9/10-10/15', ' Tues 9:30am-12:30 pm ', ' Fall 2024']",440.0,Fall 2024,Tuesday,Intermediate,Fall ,9:30am-12:30pm,Jewelry,2024
Figure Construction & Anatomy with Stu Yellin,6:00-9:00pm,,,2024,,,,Thursdays,Fall,9/12-10/24,Westbury,2024-09-12,"['Figure Construction & Anatomy with Stu Yellin ', ' Thursdays 6:00-9:00pm ', ' Fall 2024', ' 9/12-10/24 ']",270.0,Fall 2024,Thursday,,Fall ,6:00-9:00pm,Visual Arts,2024
Figure Construction & Anatomy with Stu Yellin,6:00-9:00pm,,,2024,,,,Thursdays,Fall,9/12-10/24,Huntington station,2024-09-12,"['Figure Construction & Anatomy with Stu Yellin ', ' Thursdays 6:00-9:00pm ', ' Fall 2024', ' 9/12-10/24 ']",270.0,Fall 2024,Thursday,,Fall ,6:00-9:00pm,Visual Arts,2024
Pastels: Beginning and Beyond with Marlene Bezich,1:30-3:30pm,,,2024,,,,Tuesdays,Fall,9/10-10/15,Medford,2024-09-10,"['Pastels: Beginning and Beyond with Marlene Bezich ', ' Tuesdays 1:30-3:30pm ', ' Fall 2024', ' 9/10-10/15 ']",280.0,Fall 2024,Tuesday,,Fall ,1:30-3:30pm,Visual Arts,2024
Wheel 102 with Sophie Yoon,6pm-9pm,,,2024,,,,Mondays,Fall,9/9-10/14,NY,2024-09-09,"['Wheel 102 with Sophie Yoon ', ' Mondays 6pm-9pm ', ' Fall 2024', ' 9/9-10/14 ']",448.0,Fall 2024,Monday,,Fall ,6pm-9pm,Pottery,2024
Advanced Silversmithing with Marla Mencher,1-5pm,,,2024,,,,Tuesday,Fall,9/10-10/15,Westhampton Beach,2024-09-10,"['Advanced Silversmithing with Marla Mencher ', ' Tuesday 1-5 pm ', ' Fall 2024', ' 9/10-10/15 ']",575.0,Fall 2024,Tuesday,Advanced,Fall ,1-5pm,Jewelry,2024
Wheel 102 with Sophie Yoon,6pm-9pm,,,2024,,,,Mondays,Fall,9/9-10/14,East Northport,2024-09-09,"['Wheel 102 with Sophie Yoon ', ' Mondays 6pm-9pm ', ' Fall 2024', ' 9/9-10/14 ']",448.0,Fall 2024,Monday,,Fall ,6pm-9pm,Pottery,2024
Intermediate Watercolor with Liz Fusco,9am-11am,,,2024,,,,Tues,Fall,9/10-10/15,Glen Head,2024-09-10,"['Intermediate Watercolor with Liz Fusco ', ' Tues 9am-11am ', ' Fall 2024', ' 9/10-10/15 ']",280.0,Fall 2024,Tuesday,Intermediate,Fall ,9am-11am,Visual Arts,2024
Pastels: Beginning and Beyond with Marlene Bezich,1:30-3:30pm,,,2024,,,,Tuesdays,Fall,9/10-10/15,Glen Head,2024-09-10,"['Pastels: Beginning and Beyond with Marlene Bezich ', ' Tuesdays 1:30-3:30pm ', ' Fall 2024', ' 9/10-10/15 ']",280.0,Fall 2024,Tuesday,,Fall ,1:30-3:30pm,Visual Arts,2024
Pastels: Beginning and Beyond with Marlene Bezich,1:30-3:30pm,,,2024,,,,Tuesdays,Fall,9/10-10/15,Amityville,2024-09-10,"['Pastels: Beginning and Beyond with Marlene Bezich ', ' Tuesdays 1:30-3:30pm ', ' Fall 2024', ' 9/10-10/15 ']",280.0,Fall 2024,Tuesday,,Fall ,1:30-3:30pm,Visual Arts,2024
Intermediate Watercolor with Liz Fusco,9am-11am,,,2024,,,,Tues,Fall,9/10-10/15,Amityville,2024-09-10,"['Intermediate Watercolor with Liz Fusco ', ' Tues 9am-11am ', ' Fall 2024', ' 9/10-10/15 ']",280.0,Fall 2024,Tuesday,Intermediate,Fall ,9am-11am,Visual Arts,2024
